objid ra dec u g r i z redshift
1237659326031266259 250.701729289688 36.1093693581956 17.73822 16.5336 16.06129 15.78549 15.61174 0.03420333
1237659330317189445 250.323081034359 35.992035462047 18.96132 17.53897 16.6847 16.26713 15.96026 0.08533733
1237655471822340167 250.201025468425 36.9605036430889 18.11591 16.19595 15.35561 14.95007 14.65548 0.06336898
1237655471822340469 250.10365616997 36.900823714681 19.34792 17.98302 17.1834 16.73862 16.44863 0.1212186
1237655471822340999 250.181701889232 36.8874135375646 23.44281 22.05684 20.39022 19.61469 19.27647 0.5054837
1237655471822406054 250.338130528426 36.7448339834113 24.31451 22.0127 20.34419 19.36625 18.82362 0.5359998
1237655471822473135 250.446702610984 36.7068468742387 23.63754 22.68746 20.89455 19.78964 19.37652 0.6358773
1237655471822733594 250.854015170492 36.2232625946838 20.69946 18.78241 17.62149 17.15647 16.80153 0.1655688
1237655472359473540 251.01519347684 36.6177414578447 20.87282 18.71102 17.46657 16.954 16.56313 0.1902719
1237659325494133755 249.803115475994 36.3351183965272 23.22071 21.23013 20.36851 19.37053 19.11255 0.733278
1237659325494133833 249.790308831395 36.3062273769261 24.22521 22.43237 21.10739 20.17198 19.62259 0.5460147
1237659325494133859 249.811560398026 36.3111516429067 22.7888 21.26009 20.45281 19.62768 19.17134 0.4895647
1237659325494198691 249.899278202968 36.2128078679158 19.71516 17.88427 16.92945 16.51609 16.21306 0.1238117
1237659325494198715 249.961452946832 36.236714463106 19.15686 17.99382 17.41953 17.05356 16.84802 0.08544716
1237659325494264107 250.045611985115 36.1300831539443 23.694 22.64151 21.01614 19.9709 19.50062 0.638081
1237659325494329474 250.17131662553 35.9964291770072 17.78643 16.36503 15.67023 15.34225 15.09242 0.03419295
1237659325494329658 250.157992961135 36.0094592808412 19.59652 18.35581 17.46677 17.00917 16.73423 0.1779089
1237659325494330181 250.145722219395 36.051567915058 24.68568 22.53322 20.83923 19.79212 19.34982 0.6269131
1237659325494330219 250.084149584123 36.0040001588454 26.22244 22.63076 20.65104 19.82529 19.25385 0.4949954
1237659325494330695 250.141552017495 36.0511437343888 25.56373 22.7899 20.90129 19.5967 18.976 0.5714656
1237659326030872920 249.961010311502 36.7739430181476 20.89169 18.26823 16.87017 16.20081 15.82899 6.511735e-05
1237659326030873463 249.999490723415 36.8331161813193 26.95611 22.1989 20.44027 19.49928 19.09701 0.5054161
1237659326030938885 249.945115435666 36.7300796746255 26.48145 21.82392 20.23504 19.31944 18.84898 0.5021915
1237659326031004220 250.244198735911 36.6250130029532 21.66752 18.96459 17.68604 17.18104 16.85955 0.1819602
1237659326031005157 250.135434865823 36.6462700204888 26.17837 21.89149 19.99003 19.05859 18.78392 0.48261
1237659326031005611 250.188789223925 36.5653406425671 22.51571 22.38462 20.81269 19.81766 19.35697 0.5427521
1237659326031266608 250.532331684787 36.1178009319802 23.89185 21.39293 19.51615 18.85295 18.37227 0.3696887
1237659326031331534 250.701487254035 36.073609331521 18.69255 17.80754 17.66615 17.42011 17.43009 0.0518563
